,,,f,v
143,28,31,68,17
144,28,31,68,17
145,28,31,68,17
146,28,31,68,17
147,28,31,68,17
148,28,31,68,17
149,28,31,68,17
150,28,31,68,17
151,28,31,68,17
152,28,31,68,17
153,28,31,68,17
154,28,31,68,17
155,28,31,66,17
156,28,31,66,17
157,28,31,66,17
158,28,31,66,17
159,28,31,66,17
160,28,31,66,17
161,28,31,66,17
162,28,31,66,17
163,28,31,66,17
164,28,31,66,17
165,28,31,66,17
166,28,31,66,17
167,28,31,66,17
168,28,31,66,17
169,28,31,66,17
170,28,31,66,17
171,28,31,66,17
172,28,31,66,17
173,28,31,66,17
174,28,31,66,17
175,28,31,66,17
176,28,31,66,17
177,28,31,66,17
178,28,31,66,17
179,28,31,66,17
180,28,31,66,17
181,28,31,66,17
182,28,31,66,17
183,28,31,66,17
184,28,31,66,17
185,28,31,66,17
186,28,31,66,17
187,28,31,66,17
188,28,31,66,17
189,28,31,66,17
190,28,34,67,18
191,28,34,67,18
192,28,34,67,18
193,28,34,67,18
194,28,34,67,18
195,28,34,67,18
196,28,34,67,18
197,28,34,67,18
198,28,34,67,18
199,28,34,67,18
200,28,34,67,18
201,28,34,67,18
202,28,34,67,18
203,28,34,67,18
204,28,34,67,18
205,28,34,67,18
206,28,34,67,18
207,28,34,67,18
208,28,34,67,18
209,28,34,67,18
210,28,34,67,18
211,28,34,67,18
212,28,34,67,18
213,28,34,67,18
214,28,34,67,18
215,28,34,67,18
216,28,34,67,18
217,28,33,66,18
218,28,33,66,18
219,28,33,66,18
220,28,33,67,18
221,28,33,67,18
222,28,33,67,18
223,28,33,67,18
224,28,33,65,18
225,28,33,65,18
226,28,33,65,18
227,28,33,65,18
228,28,33,65,18
229,28,33,65,18
230,28,33,65,18
231,28,33,65,18
232,28,33,65,18
233,28,33,65,18
234,28,33,65,18
235,28,33,65,18
236,28,33,65,18
237,28,33,65,18
238,28,33,65,18
239,28,33,65,18
240,28,33,65,18
241,28,33,65,18
242,28,33,65,18
243,28,33,65,18
244,28,33,65,18
245,28,33,65,18
246,28,33,65,18
247,28,33,65,18
248,28,33,65,18
249,28,33,65,18
250,28,33,65,18
251,28,33,65,18
252,30,35,67,19
253,30,35,67,19
254,30,35,67,19
255,30,35,67,19
256,30,35,67,19
257,30,35,67,19
258,30,35,68,19
259,30,33,70,19
260,30,33,70,19
261,30,33,70,19
262,30,33,70,19
263,30,33,70,19
264,30,33,70,19
265,30,33,70,19
266,30,33,70,19
267,30,33,70,19
268,30,33,70,19
269,30,33,70,19
270,30,33,70,19
271,30,33,70,19
272,30,33,70,19
273,30,33,70,19
274,30,33,70,19
275,30,33,70,19
276,30,33,70,19
277,30,33,70,19
278,30,33,70,19
279,30,33,70,19
280,30,33,70,19
281,30,33,70,19
282,30,33,70,19
283,30,33,70,19
284,30,33,70,19
285,30,33,70,19
286,30,33,70,19
287,30,33,70,19
288,30,33,70,19
289,30,33,70,19
290,30,33,70,19
291,30,33,70,19
292,30,33,70,19
293,30,33,70,19
294,30,33,70,19
295,30,33,70,19
296,30,33,70,19
297,30,33,70,19
298,30,33,70,19
299,30,33,70,19
300,30,33,70,19
301,30,33,70,19
302,30,33,70,19
303,30,33,70,19
304,30,34,73,19
305,30,34,73,19
306,30,34,73,19
307,30,34,73,19
308,30,34,73,19
309,30,34,73,19
310,30,34,73,19
311,30,34,73,19
312,30,34,73,19
313,30,34,73,19
314,30,34,73,13
315,30,34,73,13
316,30,34,73,13
317,30,34,73,13
318,30,34,73,13
319,30,34,73,13
320,30,34,73,13
321,30,34,73,13
322,30,34,73,13
323,30,34,73,13
324,30,34,73,13
325,30,34,73,13
326,30,34,73,13
327,30,34,73,13
328,30,34,73,13
329,30,34,73,13
330,30,34,73,13
331,30,34,73,13
332,31,35,74,13
333,31,35,74,13
334,31,35,74,13
335,31,35,74,13
336,31,35,74,13
337,31,35,74,13
338,31,35,74,13
339,31,35,74,13
340,31,35,74,13
341,31,35,74,13
342,31,35,74,13
343,31,35,74,13
344,31,35,74,13
345,31,35,74,13
346,31,35,74,13
347,31,35,74,13
348,31,35,74,13
349,31,35,71,13
350,31,35,71,13
351,31,35,71,13
352,31,35,71,13
353,31,35,71,13
354,31,35,71,13
355,31,35,71,13
356,31,35,71,13
357,31,35,71,13
358,31,35,71,13
359,31,35,72,12
360,31,35,72,12
361,31,35,72,12
362,31,35,72,12
363,31,35,72,12
364,31,35,72,12
365,31,35,72,12
366,31,35,72,12
367,31,35,72,12
368,31,35,72,12
369,31,35,72,12
370,31,35,72,12
371,31,35,72,12
372,31,35,72,12
373,31,35,72,12
374,31,35,72,12
375,31,35,71,13
376,31,35,71,13
377,31,35,71,13
378,31,35,71,13
379,31,35,71,13
380,31,35,71,13
381,31,35,71,13
382,31,35,71,13
383,31,35,71,13
384,31,35,71,13
385,31,35,71,13
386,31,35,71,13
387,31,35,71,13
388,31,35,71,13
389,31,35,71,13
390,31,35,71,13
391,31,35,71,13
392,31,35,71,13
393,31,35,71,13
394,31,35,71,13
395,31,35,71,13
396,31,35,71,13
397,31,35,71,13
398,31,35,71,13
399,31,35,71,13
400,31,35,71,13
401,31,35,71,13
402,31,35,71,13
403,31,35,71,13
404,31,35,71,13
405,31,35,71,13
406,30,34,64,13
407,30,34,64,13
408,30,34,64,13
409,30,34,64,13
410,30,34,64,13
411,30,34,64,13
412,30,34,63,13
413,30,34,63,13
414,30,34,63,13
415,30,34,63,13
416,30,34,63,13
417,30,34,63,13
418,30,34,63,13
419,30,34,63,19
420,30,34,63,19
421,30,34,63,19
422,30,34,63,19
423,30,34,63,19
424,30,34,63,19
425,30,34,63,19
426,30,34,63,19
427,30,34,63,19
428,30,34,63,19
429,30,34,63,19
430,30,34,63,19
431,30,34,63,19
432,30,34,63,19
433,30,34,63,19
434,30,34,63,19
435,30,34,63,19
436,30,34,63,19
437,30,34,62,19
438,30,34,62,19
439,30,34,62,19
440,30,34,62,19
441,30,34,62,19
442,30,34,63,13
443,30,34,63,13
444,30,34,63,13
445,30,34,63,13
446,30,34,63,13
447,30,34,63,13
448,30,34,63,13
449,30,34,63,13
450,30,34,63,13
451,30,34,63,13
452,30,34,63,13
453,30,34,63,13
454,30,34,63,13
455,30,34,63,13
456,30,34,63,13
457,30,34,63,13
458,30,34,63,13
459,30,34,63,13
460,30,34,63,13
461,30,34,63,13
462,30,34,63,13
463,30,34,63,13
464,30,34,63,13
465,30,34,63,13
466,30,34,63,13
467,30,34,63,13
468,30,34,63,13
469,30,34,63,13
470,30,34,63,13
471,30,34,63,13
472,30,34,63,13
473,30,34,63,13
474,30,34,63,13
475,30,34,63,13
476,30,34,63,13
477,30,34,63,13
478,30,34,63,13
479,30,34,63,13
480,30,34,63,13
481,30,34,63,13
482,30,34,63,13
483,30,34,63,13
484,30,34,63,13
485,30,34,63,13
486,30,34,63,13
487,30,34,63,13
488,30,34,63,13
489,30,34,63,13
490,30,34,63,13
491,30,34,63,13
492,30,34,63,13
493,30,34,63,13
494,30,34,63,13
495,30,34,63,13
496,30,34,63,13
497,30,34,63,13
498,30,34,63,13
499,30,34,63,13
500,30,34,63,13
501,30,34,63,13
502,31,35,64,13
503,31,35,64,13
504,31,35,64,13
505,31,35,64,13
506,31,35,64,13
507,31,35,64,13
508,31,35,64,13
509,31,35,59,13
510,31,35,59,13
511,31,35,59,13
512,31,35,59,13
513,31,35,59,13
514,31,35,59,13
515,31,35,59,13
516,31,35,59,13
517,31,35,59,13
518,31,35,59,13
519,31,35,59,13
520,31,35,59,13
521,31,35,59,13
522,31,35,59,13
523,31,35,59,13
524,31,35,59,13
525,31,35,60,20
526,31,35,60,20
527,31,35,60,20
528,31,35,60,20
529,31,35,58,15
530,31,35,58,15
531,31,35,58,15
532,31,35,58,15
533,31,35,59,20
534,31,35,59,20
535,31,35,59,20
536,31,35,59,20
537,31,35,59,20
538,31,35,59,20
539,31,35,59,20
540,31,35,59,20
541,31,35,59,20
542,31,35,59,20
543,31,35,59,20
544,31,35,59,20
545,31,35,59,20
546,31,35,59,20
547,31,35,59,20
548,31,35,59,20
549,31,35,59,20
550,31,35,59,20
551,31,35,60,19
552,31,35,60,19
553,31,35,60,19
554,31,35,60,19
555,31,35,60,19
556,31,35,60,19
557,31,35,60,19
558,31,35,60,19
559,31,35,60,19
560,31,35,60,19
561,31,35,60,19
562,31,35,60,19
563,31,35,60,19
564,31,35,60,19
565,31,35,60,19
566,31,35,60,19
567,31,35,60,19
568,31,35,59,20
569,31,35,59,20
570,31,35,59,20
571,31,35,59,20
572,31,35,59,20
573,31,35,59,20
574,31,35,59,20
575,31,35,59,20
576,31,35,59,20
577,31,35,59,20
578,31,35,59,20
579,31,35,59,20
580,31,35,59,20
581,31,35,59,20
582,31,35,59,20
583,31,35,59,20
584,31,35,59,20
585,31,35,59,20
586,31,35,59,20
587,31,35,59,20
588,31,35,59,20
589,31,35,59,20
590,31,35,59,20
591,31,35,59,20
592,31,35,59,20
593,31,35,59,20
594,31,35,59,20
595,31,35,59,20
596,31,35,59,20
597,31,35,59,20
598,31,35,59,20
599,31,35,59,20
600,31,35,59,20
601,31,35,59,20
602,31,35,59,20
603,31,35,59,20
604,31,35,59,20
605,31,35,59,20
606,31,35,59,20
607,31,35,59,20
608,31,35,59,20
609,31,35,59,20
610,31,35,59,20
611,31,35,59,20
612,31,35,59,20
613,31,35,59,20
614,31,35,59,20
615,31,35,59,20
616,31,35,59,20
617,31,35,59,20
618,31,35,59,20
619,31,35,59,20
620,31,35,59,20
621,31,35,59,20
622,31,35,59,20
623,31,35,59,20
624,31,35,59,20
625,31,35,59,20
626,31,35,59,20
627,31,35,59,20
628,31,35,59,20
629,31,35,59,20
630,31,35,59,20
631,31,35,59,20
632,31,35,59,20
633,31,35,59,20
634,31,35,59,20
635,31,35,59,20
636,31,35,59,20
637,31,35,59,20
638,31,35,59,20
639,31,35,59,20
640,31,35,59,20
641,31,35,59,20
642,31,35,59,20
643,31,35,59,20
644,31,35,59,20
645,31,35,59,19
646,31,35,59,19
647,31,35,59,19
648,31,35,59,19
649,31,35,59,19
650,31,35,59,19
651,31,35,59,19
652,31,35,59,19
653,31,35,59,19
654,31,35,59,19
655,31,35,59,19
656,31,35,59,19
657,31,35,59,19
658,31,35,59,19
659,31,35,59,19
660,31,35,59,19
661,31,35,59,19
662,31,35,59,19
663,31,35,59,19
664,31,35,59,19
665,31,35,59,19
666,31,35,59,19
667,31,35,59,19
668,31,35,59,19
669,31,35,59,19
670,31,35,59,19
671,31,35,59,19
672,31,35,59,19
673,31,35,59,19
674,31,35,59,19
675,31,35,59,19
676,31,35,59,19
677,31,35,59,19
678,31,35,59,19
679,31,35,59,19
680,31,35,59,19
681,31,35,59,19
682,31,35,59,19
683,31,35,59,19
684,31,35,59,19
685,31,35,59,19
686,31,35,59,19
687,31,35,59,19
688,31,35,59,19
689,31,35,59,19
690,31,35,59,19
691,31,35,59,19
692,31,35,59,19
693,31,35,59,19
694,31,35,59,19
695,31,35,59,19
696,31,35,59,19
697,31,35,59,19
698,31,35,59,19
699,31,35,59,19
700,31,35,59,19
701,31,35,59,19
702,31,35,59,19
703,31,35,59,19
704,31,35,59,19
705,31,35,59,19
706,31,35,59,19
707,31,35,59,15
708,31,35,59,15
709,31,35,59,15
710,31,35,59,15
711,31,35,59,15
712,31,35,59,15
713,31,35,59,15
714,31,35,59,15
715,31,35,59,15
716,31,35,59,15
717,31,35,59,15
718,31,35,59,15
719,31,35,59,15
720,31,35,59,15
721,31,35,59,15
722,31,35,59,15
723,31,35,59,15
724,31,35,59,15
725,31,35,59,15
726,31,35,59,15
727,31,35,59,15
728,31,35,59,15
729,31,35,59,15
730,31,35,59,15
731,31,35,59,15
732,31,35,59,15
733,31,35,59,15
734,31,35,59,15
735,31,35,59,15
736,31,35,59,15
737,31,35,59,15
738,31,35,59,15
739,31,35,59,15
740,31,35,59,15
741,31,35,59,15
742,31,35,59,15
743,31,35,59,15
744,31,35,59,15
745,31,35,59,15
746,31,35,59,15
747,31,35,59,15
748,31,35,59,15
749,31,35,59,15
750,31,35,59,15
751,31,35,59,15
752,31,35,59,15
753,31,35,59,15
754,31,35,59,15
755,31,35,59,15
756,31,35,59,15
757,34,44,76,22
758,34,44,76,22
759,34,44,76,22
760,34,44,76,22
761,34,44,76,22
762,34,44,76,22
763,34,44,76,22
764,34,44,76,22
765,34,44,76,22
766,33,43,75,22
767,33,43,75,22
768,33,43,75,22
769,33,43,75,22
770,33,43,75,22
771,33,43,75,22
772,33,43,75,22
773,33,43,75,22
774,33,43,75,22
775,33,43,75,22
776,33,43,75,22
777,33,43,75,22
778,33,43,75,22
779,33,43,75,22
780,33,43,75,22
781,33,43,75,22
782,33,43,75,22
783,33,43,75,22
784,33,43,75,22
785,33,43,75,22
786,33,43,75,22
787,33,43,75,22
788,33,43,75,22
789,33,43,75,22
790,33,43,75,22
791,33,43,75,22
792,33,43,75,22
793,33,43,75,22
794,33,43,75,22
795,33,43,75,22
796,33,43,75,22
797,33,43,75,22
798,33,43,75,22
799,33,43,75,22
800,33,43,75,22
801,33,43,75,22
802,33,43,75,22
803,33,43,75,22
804,33,43,75,22
805,33,43,75,22
806,33,43,75,22
807,33,43,75,22
808,33,43,75,22
809,33,43,75,22
810,33,43,75,22
811,33,43,75,22
812,33,43,75,22
813,33,43,75,22
814,33,43,75,22
815,33,43,75,22
816,33,43,75,22
817,33,43,75,22
818,33,43,75,22
819,33,43,75,22
820,33,43,75,22
821,33,43,75,22
822,33,43,75,22
823,33,43,75,22
824,33,43,75,22
825,33,43,75,22
826,33,43,75,22
827,33,43,75,22
828,33,43,75,22
829,33,43,75,22
830,33,43,75,22
831,33,43,75,22
832,33,43,75,22
833,33,43,75,22
834,33,43,75,22
835,33,43,75,22
836,33,43,75,22
837,33,43,75,22
838,33,43,75,22
839,33,43,75,22
840,33,43,75,22
841,33,43,75,22
842,33,45,81,19
843,33,45,81,19
844,33,45,81,19
845,33,45,81,19
846,33,45,81,19
847,33,45,81,19
848,33,45,81,19
849,33,45,81,19
850,33,45,81,19
851,33,45,81,19
852,33,45,81,19
853,33,45,81,19
854,33,45,81,19
855,33,45,81,19
856,33,45,81,19
857,33,45,81,19
858,33,45,81,19
859,33,45,81,19
860,33,45,81,19
861,33,45,81,19
862,33,45,81,19
863,33,45,81,19
864,33,45,81,19
865,33,45,81,19
866,33,45,81,19
867,33,45,81,19
868,33,45,81,19
869,33,45,81,23
870,33,45,81,23
871,33,45,81,23
872,33,45,81,23
873,33,45,81,23
874,34,46,82,23
875,34,47,83,24
876,34,47,83,24
877,34,47,83,24
878,34,47,83,24
879,34,47,83,24
880,34,47,83,24
881,34,47,83,24
882,34,47,83,24
883,34,47,83,24
884,34,47,83,24
885,34,47,83,24
886,34,47,83,24
887,34,47,83,24
888,34,47,83,24
889,34,47,83,18
890,34,47,83,18
891,34,47,83,18
892,34,47,83,18
893,34,47,83,18
894,34,47,83,18
895,34,47,83,18
896,34,47,83,18
897,34,47,83,18
898,34,47,83,18
899,34,47,83,18
900,34,47,83,18
901,34,47,83,18
902,34,47,83,18
903,34,47,83,18
904,34,47,83,18
905,34,47,83,18
906,34,47,83,18
907,34,47,83,18
908,34,47,83,18
909,34,47,83,18
910,34,47,83,18
911,34,47,83,18
912,34,47,83,18
913,34,47,83,18
914,34,47,83,18
915,34,47,83,18
916,34,47,83,18
917,34,47,83,18
918,34,47,83,18
919,34,47,83,18
920,34,47,83,18
921,34,47,83,18
922,34,47,83,18
923,34,47,83,18
924,34,47,83,18
925,34,47,83,18
926,34,47,83,18
927,34,47,83,18
928,34,46,85,16
929,34,46,85,16
930,34,46,85,16
931,34,46,85,16
932,34,46,85,16
933,34,46,85,16
934,34,46,85,16
935,34,46,85,16
936,34,46,85,16
937,34,46,85,16
938,34,46,85,16
939,34,46,85,16
940,34,46,85,16
941,34,46,85,16
942,34,46,85,16
943,34,46,85,16
944,34,46,85,16
945,34,46,85,16
946,34,46,85,16
947,34,46,85,16
948,34,46,85,16
949,34,46,85,16
950,34,46,85,16
951,34,46,85,16
952,34,46,85,16
953,34,46,85,16
954,34,46,85,16
955,34,46,85,16
956,34,46,85,16
957,34,46,85,16
958,34,46,85,16
959,34,46,85,16
960,34,46,85,16
961,34,46,85,16
962,34,46,85,16
963,34,46,85,16
964,34,46,85,16
965,34,46,85,16
966,34,46,85,16
967,34,46,85,16
968,34,46,85,17
969,34,46,85,17
970,34,46,85,17
971,34,46,85,17
972,34,46,85,17
973,34,46,85,17
974,34,46,85,17
975,34,46,85,17
976,34,46,85,17
977,34,46,85,17
978,34,44,84,18
979,34,44,84,18
980,34,44,84,18
981,34,44,84,18
982,34,44,84,18
983,34,44,84,18
984,34,44,84,18
985,34,44,84,18
986,34,44,84,18
987,34,44,84,18
988,34,44,84,18
989,34,44,84,18
990,34,44,84,18
991,34,44,84,18
992,34,44,84,18
993,34,44,84,18
994,34,44,84,18
995,34,44,84,18
996,34,44,84,18
997,34,44,84,18
998,34,44,84,18
999,34,44,84,18
1000,34,44,84,18
1001,34,44,84,18
1002,34,44,84,18
1003,34,44,84,18
1004,34,44,84,18
1005,34,44,84,18
1006,34,44,84,18
1007,34,44,84,18
1008,34,44,84,18
1009,34,44,84,18
1010,34,44,84,18
1011,34,44,84,18
1012,34,44,84,18
1013,34,44,84,18
1014,34,44,84,18
1015,34,44,84,18
1016,34,44,84,18
1017,34,44,84,18
1018,34,44,84,18
1019,34,44,84,18
1020,34,44,84,18
1021,34,44,84,18
1022,34,44,84,18
1023,34,44,84,18
1024,34,44,84,18
1025,34,44,84,18
1026,34,44,84,18
1027,34,44,84,18
1028,34,44,84,18
1029,34,44,84,18
1030,34,44,84,18
1031,34,44,84,18
1032,34,44,84,18
1033,34,44,84,18
1034,34,44,84,18
1035,34,44,84,18
1036,34,44,84,18
1037,34,44,84,18
1038,34,44,84,18
1039,34,44,84,18
1040,34,44,84,18
1041,34,44,84,18
1042,34,44,84,18
1043,34,44,84,18
1044,34,44,84,18
1045,34,44,84,18
1046,34,44,84,18
1047,34,44,84,18
1048,34,44,84,18
1049,34,44,84,18
1050,34,44,84,18
1051,34,44,84,18
1052,34,44,84,18
1053,34,44,84,18
1054,34,44,84,18
1055,34,44,84,18
1056,34,44,84,18
1057,34,44,84,18
1058,34,44,84,18
1059,34,44,84,18
1060,34,44,84,18
1061,34,44,84,18
1062,34,44,84,18
1063,34,44,84,18
1064,34,44,84,18
1065,34,44,84,18
1066,34,44,84,18
1067,34,44,84,18
1068,34,44,84,18
1069,34,44,84,18
1070,34,44,84,18
1071,34,44,84,18
1072,34,44,84,18
1073,34,44,84,18
1074,34,44,84,18
1075,34,44,84,18
1076,34,44,84,18
1077,34,44,84,18
1078,34,44,84,18
1079,34,44,84,18
1080,34,44,84,18
1081,34,44,84,18
1082,34,44,84,18
1083,34,44,84,18
1084,34,44,84,18
1085,34,44,84,18
1086,34,44,84,18
1087,34,44,84,18
1088,34,44,84,18
1089,34,44,84,18
1090,34,44,84,18
1091,34,44,84,18
1092,34,44,84,18
1093,34,44,84,18
1094,34,44,84,18
1095,34,44,84,18
1096,34,44,84,18
1097,34,44,84,18
1098,34,44,84,18
1099,34,44,84,18
1100,34,44,84,18
1101,34,44,84,18
1102,34,44,84,18
1103,34,44,84,18
1104,34,44,84,20
1105,34,44,84,20
1106,34,44,84,20
1107,34,44,84,20
1108,34,44,84,20
1109,34,44,84,20
1110,34,44,84,20
1111,34,44,84,20
1112,34,44,84,20
1113,34,44,84,20
1114,34,44,84,20
1115,34,44,84,20
1116,34,44,84,20
1117,34,44,84,20
1118,34,44,84,20
1119,34,44,84,20
1120,34,44,84,20
1121,34,44,84,20
1122,34,44,84,20
1123,34,44,84,20
1124,34,44,84,20
1125,34,44,84,20
1126,34,44,84,20
1127,34,44,84,20
1128,34,44,84,20
1129,34,44,84,20
1130,34,44,84,20
1131,34,44,84,20
1132,34,44,84,20
1133,34,44,84,20
1134,34,44,84,20
1135,34,43,78,18
1136,34,43,78,18
1137,34,43,78,18
1138,34,43,78,18
1139,34,43,78,18
1140,34,43,78,18
1141,34,43,78,18
1142,34,43,78,18
1143,34,43,78,18
1144,34,43,78,18
1145,34,43,78,20
1146,34,43,78,20
1147,34,43,78,20
1148,34,43,78,20
1149,34,43,78,20
1150,34,43,78,20
1151,34,43,78,20
1152,34,43,78,20
1153,34,43,78,20
1154,34,43,78,20
1155,34,43,78,20
1156,34,43,78,20
1157,34,43,78,20
1158,34,43,78,20
1159,34,43,78,20
1160,34,43,78,20
1161,34,43,78,20
1162,34,43,78,20
1163,34,43,78,20
1164,34,43,78,20
1165,34,43,78,20
1166,34,43,78,20
1167,34,43,78,20
1168,34,43,78,20
1169,34,43,78,20
1170,34,43,78,20
1171,34,43,78,20
1172,34,43,78,20
1173,34,43,78,20
1174,34,43,78,20
1175,34,43,78,20
1176,34,43,78,20
1177,34,43,78,20
1178,34,43,78,20
1179,34,43,78,20
1180,34,43,78,20
1181,34,43,78,20
1182,34,43,78,20
1183,34,43,78,20
1184,34,43,78,20
1185,34,43,78,20
1186,34,43,78,20
1187,34,43,78,20
1188,34,43,78,20
1189,34,43,78,20
1190,34,43,78,20
1191,34,43,78,20
1192,34,43,78,20
1193,34,43,78,20
1194,34,43,78,20
1195,34,43,78,20
1196,34,43,78,20
1197,34,43,78,20
1198,34,43,78,20
1199,34,43,78,20
1200,34,43,78,20
1201,34,43,78,20
1202,34,43,78,20
1203,34,43,78,19
1204,34,43,78,19
1205,34,43,78,19
1206,34,43,78,19
1207,34,43,78,19
1208,34,43,78,19
1209,34,43,78,19
1210,34,43,78,19
1211,34,43,78,19
1212,34,43,78,19
1213,34,43,78,19
1214,34,43,78,19
1215,34,43,78,19
1216,34,43,78,19
1217,34,43,78,19
1218,34,43,78,19
1219,34,43,78,19
1220,34,43,78,19
1221,34,43,78,19
1222,34,43,78,19
1223,34,43,78,19
1224,34,43,78,19
1225,34,43,78,19
1226,34,43,78,19
1227,34,43,78,20
1228,34,43,78,19
1229,34,43,78,19
1230,34,43,78,19
1231,34,43,78,19
1232,34,43,78,19
1233,34,43,78,19
1234,34,43,78,20
1235,34,43,78,20
1236,34,43,78,20
1237,34,43,78,20
1238,34,43,78,20
1239,34,43,78,20
1240,34,43,77,21
1241,34,43,77,21
1242,34,43,77,21
1243,34,43,77,21
1244,34,43,77,21
1245,34,43,77,21
1246,34,43,77,21
1247,34,43,77,21
1248,34,43,77,21
1249,34,43,77,21
1250,34,43,77,21
1251,34,43,77,21
1252,34,43,77,21
1253,34,43,77,21
1254,34,43,77,21
1255,34,43,77,21
1256,34,43,77,21
1257,34,43,77,21
1258,34,43,77,21
1259,34,43,77,21
1260,34,43,77,21
1261,34,43,77,21
1262,34,43,77,21
1263,40,50,119,32
1264,40,50,119,32
1265,40,50,119,32
1266,40,50,119,32
1267,40,51,123,33
1268,40,51,124,32
1269,40,51,124,32
1270,40,51,124,32
1271,40,51,124,32
1272,40,51,124,33
1273,40,51,124,33
1274,40,51,124,33
1275,40,51,124,33
1276,40,51,124,33
1277,40,51,124,33
1278,40,51,124,33
1279,40,51,124,33
1280,40,51,124,33
1281,40,51,124,33
1282,40,51,124,33
1283,40,51,123,33
1284,40,51,124,33
1285,40,51,124,37
1286,40,51,124,37
1287,40,51,124,37
1288,40,51,124,37
1289,40,51,124,37
1290,40,51,124,37
1291,40,51,124,37
1292,40,51,124,37
1293,40,51,124,37
1294,40,51,124,37
1295,40,51,124,37
1296,40,51,124,37
1297,40,51,124,37
1298,40,51,124,37
1299,40,51,124,37
1300,40,51,124,37
1301,40,51,124,37
1302,40,51,124,37
1303,40,51,123,43
1304,40,51,124,37
1305,40,51,124,37
1306,40,51,124,37
1307,40,51,124,37
1308,40,51,124,37
1309,40,51,124,37
1310,40,51,124,37
1311,40,51,124,37
1312,40,51,124,37
1313,40,51,124,37
1314,40,51,124,37
1315,40,51,124,37
1316,40,51,124,37
1317,40,51,124,37
1318,40,51,124,37
1319,40,51,124,37
1320,40,51,124,37
1321,40,51,124,37
1322,40,51,124,37
1323,40,51,124,37
1324,40,51,124,37
1325,40,51,124,37
1326,40,51,124,37
1327,40,51,124,37
1328,40,51,124,37
1329,40,51,124,37
1330,40,51,124,37
1331,40,51,124,37
1332,40,51,124,37
1333,40,51,124,37
1334,40,51,124,37
1335,40,51,124,37
1336,40,51,124,37
1337,40,51,124,37
1338,40,51,124,40
1339,40,51,124,38
1340,40,51,124,38
1341,44,55,129,38
1342,44,55,129,38
1343,44,55,129,38
1344,44,55,129,38
1345,44,55,129,38
1346,44,55,129,38
1347,44,55,129,38
1348,44,55,129,38
1349,44,55,129,38
1350,44,55,129,38
1351,44,55,129,38
1352,44,55,129,38
1353,44,55,129,38
1354,44,55,129,38
1355,44,55,129,38
1356,44,55,129,38
1357,44,55,129,38
1358,44,55,129,38
1359,44,55,129,38
1360,44,55,129,38
1361,44,55,129,38
1362,44,55,129,38
