"index","pe","weight","avg"
1489,7,7,1
149,14,14,1
1490,7,7,1
1491,7,7,1
1492,7,7,1
1493,7,7,1
1494,7,7,1
1495,7,7,1
1496,7,7,1
1497,7,7,1
1498,7,7,1
1499,7,7,1
15,5,5,1
150,5,5,1
1500,7,7,1
1501,7,7,1
1502,7,7,1
1503,7,7,1
1504,7,7,1
1505,7,7,1
1506,7,7,1
1507,7,7,1
1508,7,7,1
1509,7,7,1
151,5,5,1
1510,7,7,1
1511,7,7,1
1512,7,7,1
1513,7,7,1
1514,8,8,1
1515,7,7,1
1516,7,7,1
1517,7,7,1
1518,7,7,1
1519,7,7,1
152,5,5,1
1520,7,7,1
1521,7,7,1
1522,7,7,1
1523,7,7,1
1524,7,7,1
1525,10,10,1
1526,7,7,1
1527,8,8,1
1528,7,7,1
1529,8,8,1
153,13,13,1
1530,8,8,1
1531,7,7,1
1532,10,10,1
1533,9,9,1
1534,7,7,1
1535,7,7,1
1536,7,7,1
1537,7,7,1
1538,7,7,1
1539,7,7,1
154,5,5,1
1540,10,10,1
1541,7,7,1
1542,7,7,1
1543,7,7,1
1544,7,7,1
1545,9,9,1
1546,7,7,1
1547,7,7,1
1548,7,7,1
1549,7,7,1
155,5,5,1
1550,7,7,1
1551,7,7,1
1552,7,7,1
1553,7,7,1
1554,7,7,1
1555,7,7,1
1556,7,7,1
1557,7,7,1
1558,7,7,1
1559,7,7,1
156,8,8,1
1560,7,7,1
1561,7,7,1
1562,8,8,1
1563,7,7,1
1564,7,7,1
1565,7,7,1
1566,7,7,1
1567,7,7,1
1568,7,7,1
1569,7,7,1
157,5,5,1
1570,7,7,1
1571,7,7,1
1572,7,7,1
1573,7,7,1
1574,8,8,1
1575,7,7,1
1576,7,7,1
1577,7,7,1
1578,7,7,1
1579,7,7,1
158,9,9,1
1580,7,7,1
1581,7,7,1
1582,9,9,1
1583,7,7,1
1584,7,7,1
1585,7,7,1
1586,7,7,1
1587,7,7,1
1588,7,7,1
1589,7,7,1
159,5,5,1
1590,7,7,1
1591,7,7,1
1592,7,7,1
1593,7,7,1
1594,7,7,1
1595,7,7,1
1596,7,7,1
1597,7,7,1
1598,7,7,1
1599,7,7,1
16,5,5,1
160,5,5,1
1600,7,7,1
1601,7,7,1
1602,7,7,1
1603,7,7,1
1604,7,7,1
1605,7,7,1
1606,16,16,1
1607,7,7,1
1608,7,7,1
1609,9,9,1
161,5,5,1
1610,7,7,1
1611,13,13,1
1612,7,7,1
1613,7,7,1
1614,7,7,1
1615,7,7,1
1616,7,7,1
1617,7,7,1
1618,7,7,1
1619,7,7,1
162,5,5,1
1620,7,7,1
1621,7,7,1
1622,7,7,1
1623,7,7,1
1624,7,7,1
1625,7,7,1
1626,7,7,1
1627,7,7,1
1628,7,7,1
1629,7,7,1
163,5,5,1
1630,9,9,1
1631,14,14,1
1632,7,7,1
1633,9,9,1
1634,7,7,1
1635,7,7,1
1636,7,7,1
1637,16,17,1.0625
1638,7,7,1
1639,7,7,1
164,5,5,1
1640,7,7,1
1641,7,7,1
1642,8,8,1
1643,7,7,1
1644,7,7,1
1645,7,7,1
1646,7,7,1
1647,7,7,1
1648,7,7,1
1649,7,7,1
165,5,5,1
1650,7,7,1
1651,7,7,1
1652,7,7,1
1653,7,7,1
1654,7,7,1
1655,7,7,1
1656,7,7,1
1657,7,7,1
1658,7,7,1
1659,7,7,1
166,5,5,1
1660,7,7,1
