"index","pe","weight","avg"
1503,2,2,1
1511,2,2,1
1522,2,2,1
1526,2,2,1
1531,2,2,1
1536,2,2,1
1539,2,2,1
1540,2,2,1
1542,2,2,1
1543,2,2,1
1546,2,2,1
1547,2,2,1
1549,2,2,1
1554,2,2,1
1556,2,2,1
1557,2,2,1
1564,2,2,1
1565,2,2,1
1569,41,45,1.09756097560976
157,2,2,1
1570,1,1,1
1571,45,50,1.11111111111111
1572,14,16,1.14285714285714
1573,1,1,1
1574,41,47,1.14634146341463
1575,2,2,1
1576,2,2,1
1577,2,2,1
1578,2,2,1
1579,2,2,1
1580,2,2,1
1581,2,2,1
1582,2,2,1
1583,2,2,1
1584,2,2,1
1585,3,3,1
1586,2,2,1
1587,41,47,1.14634146341463
1588,1,1,1
1589,10,10,1
1590,9,9,1
1591,1,1,1
1592,6,6,1
1593,2,2,1
1594,2,2,1
1595,2,2,1
1596,44,51,1.15909090909091
1597,2,2,1
1598,42,48,1.14285714285714
1599,42,48,1.14285714285714
1600,45,51,1.13333333333333
1601,1,1,1
1602,1,1,1
1603,6,6,1
1604,7,7,1
1605,48,54,1.125
1606,48,54,1.125
1607,45,51,1.13333333333333
1608,47,53,1.12765957446809
1609,3,3,1
1610,1,1,1
1611,3,3,1
1612,45,50,1.11111111111111
1613,1,1,1
1614,43,48,1.11627906976744
1619,6,6,1
1620,1,1,1
1621,1,1,1
1622,1,1,1
1623,42,48,1.14285714285714
1624,1,1,1
1625,1,1,1
1626,1,1,1
1627,1,1,1
1628,1,1,1
1629,1,1,1
1630,1,1,1
1631,44,50,1.13636363636364
1632,45,51,1.13333333333333
1633,4,5,1.25
1634,1,1,1
1635,1,1,1
1636,1,1,1
1637,1,1,1
1638,1,1,1
1639,42,49,1.16666666666667
164,2,2,1
1644,45,51,1.13333333333333
1645,2,2,1
1646,2,2,1
1647,9,10,1.11111111111111
1648,5,6,1.2
1649,2,2,1
1650,2,2,1
1651,2,2,1
1652,2,2,1
1653,2,2,1
1654,2,2,1
1655,2,2,1
1656,2,2,1
1657,2,2,1
1658,11,11,1
1659,2,2,1
