!def(UWSGI_SCTP),def(UWSGI_EMBEDDED)
(def(__sun__)&def(UWSGI_SPOOLER)),True
!def(PYTHREE),def(UWSGI_SENDFILE)
(def(__HAIKU__)&def(UWSGI_SPOOLER)&def(UWSGI_DEBUG)),True
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),def(UWSGI_EVENT_USE_KQUEUE)
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)&!def(UWSGI_MINTERPRETERS)),True
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)),!def(PYTHREE)
def(UWSGI_EVENT_USE_KQUEUE),def(UWSGI_EVENT_USE_EPOLL)
!def(SO_REUSEPORT),True
def(UWSGI_MINTERPRETERS),(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)&def(UWSGI_MINTERPRETERS)&def(UWSGI_DEBUG))
True,!def(UWSGI_PCRE)
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)&!def(UWSGI_PYPY)),True
True,!def(UWSGI_MINTERPRETERS)
def(UWSGI_UDP),!def(UWSGI_SCTP)
def(UWSGI_LDAP),True
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),(def(UWSGI_MULTICAST)&def(UWSGI_UDP)&def(__BIG_ENDIAN__))
(def(UWSGI_SENDFILE)&!def(__FreeBSD__)),def(UWSGI_SENDFILE)
def(UWSGI_SPOOLER),(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER))
(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER)),def(__BIG_ENDIAN__)
True,!def(NGX_HAVE_LITTLE_ENDIAN)
!def(UWSGI_SCTP),True
(def(UWSGI_SCTP)&!def(__sun__)&(!def(__sun__)|!def(UWSGI_SCTP))),True
def(UWSGI_YAML),True
def(UWSGI_SQLITE3),True
def(UWSGI_MINTERPRETERS),!def(UWSGI_MINTERPRETERS)
(def(sqlite3_open_v2)&def(UWSGI_SQLITE3)),True
(def(UWSGI_MULTICAST)&def(UWSGI_EMBEDDED)),def(__BIG_ENDIAN__)
(def(__linux__)&def(UWSGI_SPOOLER)),True
def(UWSGI_PROXY),True
!def(UWSGI_AS_SHARED_LIBRARY),True
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)),True
def(UWSGI_SENDFILE),(def(UWSGI_SENDFILE)&!def(__FreeBSD__))
!def(PYTHREE),True
!def(__HAIKU__),True
def(UWSGI_SCTP),True
(def(__BIG_ENDIAN__)&def(UWSGI_SNMP)),def(UWSGI_SNMP)
def(__linux__),def(UWSGI_EMBEDDED)
def(__sun__),True
def(UWSGI_EMBEDDED),(def(__BIG_ENDIAN__)&def(UWSGI_EMBEDDED))
def(UWSGI_EVENT_FILEMONITOR_USE_INOTIFY),def(UWSGI_EVENT_USE_KQUEUE)
(def(PYTHREE)&!def(UWSGI_PYPY)),True
(def(UWSGI_SPOOLER)&def(UWSGI_EMBEDDED)&def(__BIG_ENDIAN__)),def(__BIG_ENDIAN__)
def(UWSGI_SNMP),(def(UWSGI_MULTICAST)&def(UWSGI_UDP))
!def(UWSGI_MINTERPRETERS),def(UWSGI_DEBUG)
def(UWSGI_EVENT_USE_KQUEUE),def(UWSGI_EMBEDDED)
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)&def(UWSGI_MINTERPRETERS)&def(UWSGI_EMBEDDED)),def(UWSGI_EMBEDDED)
True,def(UWSGI_EMBEDDED)
True,def(UWSGI_DEBUG)
True,def(UWSGI_ASYNC)
(!def(UWSGI_EVENT_TIMER_USE_TIMERFD)&!def(UWSGI_EVENT_TIMER_USE_NONE)),True
True,((def(UWSGI_EVENT_TIMER_USE_TIMERFD)|def(UWSGI_EVENT_TIMER_USE_NONE)|def(UWSGI_EVENT_TIMER_USE_KQUEUE))&(!def(UWSGI_EVENT_TIMER_USE_TIMERFD)|!def(UNBIT))&def(UWSGI_EVENT_TIMER_USE_KQUEUE))
def(UWSGI_DEBUG),def(UWSGI_EMBEDDED)
(def(UWSGI_SNMP)&def(UWSGI_UDP)),def(UWSGI_SNMP)
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),def(__BIG_ENDIAN__)
def(UWSGI_EMBEDDED),True
(def(__FreeBSD__)&def(UWSGI_SENDFILE)),def(UWSGI_SENDFILE)
def(SO_REUSEPORT),True
def(__BIG_ENDIAN__),True
(def(UWSGI_DEBUG)&def(UWSGI_ZEROMQ)),True
True,!def(UWSGI_SCTP)
True,def(__linux__)
def(UWSGI_ASYNC),def(UWSGI_EVENT_USE_KQUEUE)
def(UWSGI_PYPY),True
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),def(UWSGI_EMBEDDED)
def(UWSGI_SNMP),True
def(__clang__),!def(__clang__)
(def(UWSGI_EMBEDDED)&!def(UWSGI_SPOOLER)&(!def(UWSGI_SPOOLER)|!def(UWSGI_EMBEDDED))),True
!def(UWSGI_HAS_IFADDRS),True
True,def(UWSGI_LDAP)
def(UWSGI_EMBEDDED),def(__BIG_ENDIAN__)
(def(UWSGI_SQLITE3)&!def(sqlite3_open_v2)&(!def(sqlite3_open_v2)|!def(UWSGI_SQLITE3))),True
!def(UWSGI_UDP),True
!def(UWSGI_PYPY),def(HAS_NOT_PyFrame_GetLineNumber)
def(UWSGI_SNMP),(def(UWSGI_DEBUG)&def(UWSGI_SNMP))
def(UWSGI_UDP),def(UWSGI_EVENT_USE_KQUEUE)
(!def(UWSGI_JSON)&def(UWSGI_DEBUG)),True
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)&def(__BIG_ENDIAN__)),def(__BIG_ENDIAN__)
