def(UWSGI_EVENT_USE_KQUEUE),def(UWSGI_SPOOLER)
(def(__BIG_ENDIAN__)&def(UWSGI_EMBEDDED)),def(__BIG_ENDIAN__)
(!def(UWSGI_SENDFILE)&!def(UWSGI_ASYNC)),!def(PYTHREE)
(def(__linux__)&def(UWSGI_PROXY)),def(UWSGI_PROXY)
(def(UWSGI_SPOOLER)&def(UWSGI_EMBEDDED)&def(__BIG_ENDIAN__)),def(__BIG_ENDIAN__)
(def(UWSGI_DEBUG)&def(UWSGI_SENDFILE)),True
!def(__linux__),True
(def(sqlite3_open_v2)&def(UWSGI_SQLITE3)),True
def(UWSGI_SNMP),def(UWSGI_EVENT_USE_KQUEUE)
True,def(UWSGI_SCTP)
(def(UWSGI_SPOOLER)&def(UWSGI_EMBEDDED)),def(__BIG_ENDIAN__)
(def(__BIG_ENDIAN__)&def(UWSGI_SNMP)),def(UWSGI_SNMP)
True,def(UWSGI_LDAP)
def(UWSGI_HAS_IFADDRS),True
def(__linux__),def(UWSGI_EMBEDDED)
(def(UWSGI_SENDFILE)&def(UWSGI_EMBEDDED)),True
def(UWSGI_SPOOLER),True
(!def(UWSGI_JSON)&def(ZMQ_EVENTS)),True
(def(UWSGI_DEBUG)&def(UWSGI_SCTP)),True
(def(UWSGI_DEBUG)&def(UWSGI_ROUTING)),True
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),(def(UWSGI_MULTICAST)&def(UWSGI_UDP)&def(__BIG_ENDIAN__))
!def(UWSGI_SCTP),True
!def(NGX_HAVE_LITTLE_ENDIAN),def(__BIG_ENDIAN__)
def(UWSGI_SNMP),def(UWSGI_EMBEDDED)
(def(__BIG_ENDIAN__)&def(UWSGI_SPOOLER)),def(__BIG_ENDIAN__)
(def(UWSGI_MULTICAST)&def(UWSGI_UDP)),True
(def(UWSGI_EMBEDDED)&!def(UWSGI_SPOOLER)&(!def(UWSGI_SPOOLER)|!def(UWSGI_EMBEDDED))),True
