"index","a","b","c","d","e"
"13201","True","multi","exclusion","Variable","1"
"13201","True","easy","exclusion","Variable","1"
"13219","True","multi_handle","additon","Variable","1"
"13260","True","multi_handle","exclusion","Variable","1"
"13471","True","buf","type","Variable","1"
"13487","True","multi_handle","additon","Variable","1"
"13490","True","multi_handle","exclusion","Variable","1"
"13596","True","data","additon","Variable","1"
"13698","True","multi_handle","additon","Variable","1"
"13699","True","multi_handle","exclusion","Variable","1"
"1382","True","Curl_FormReader","additon","Function","1"
"1382","True","Curl_FormInit","additon","Function","1"
"13888","def(CURL_DOES_CONVERSIONS)","Curl_convert_from_network","exclusion","Function","2"
"13888","True","data","exclusion","Variable","2"
"139","True","helpf","additon","Function","2"
"139","True","help","exclusion","Function","2"
"13903","!def(CURL_DISABLE_HTTP)","cleanup","additon","Function","3"
"13903","True","negotiate","additon","Function","3"
"13903","def(CURL_DOES_CONVERSIONS)","Curl_convert_from_network","exclusion","Function","3"
"13903","def(CURL_DOES_CONVERSIONS)","Curl_convert_to_network","exclusion","Function","3"
"13903","True","data","exclusion","Variable","3"
"13903","def(CURL_DOES_CONVERSIONS)","Curl_convert_clone","exclusion","Function","3"
"14010","!def(CURL_DISABLE_HTTP)","cleanup","exclusion","Function","1"
"14108","True","negotiate","exclusion","Function","1"
"14110","def(USE_CYASSL)","sockindex","additon","Variable","2"
"14110","True","CURLE_OK","additon","Function","2"
"14110","def(USE_CYASSL)","conn","additon","Variable","2"
"14182","True","Curl_base64_decode","additon","Function","1"
"14182","True","Curl_raw_nequal","additon","Function","1"
"14238","True","Curl_base64_decode","parameter","Function","1"
"14238","True","Curl_base64_encode","parameter","Function","1"
"14285","True","negotiate","additon","Function","1"
"14322","True","main","parameter","Function","1"
"14385","True","gethostname","additon","Function","1"
"14389","True","len","additon","Variable","1"
"14389","True","p","additon","Variable","1"
"14390","def(DEBUGBUILD)","parse_filename","additon","Function","2"
"14390","True","curl_getenv","additon","Function","2"
"14390","True","curl_free","additon","Function","2"
"14390","True","len","additon","Variable","2"
"14390","True","p","additon","Variable","2"
"14391","True","p","type","Variable","1"
"14392","True","p","type","Variable","1"
"14447","True","gethostname","exclusion","Function","2"
"14447","def(DEBUGBUILD)","gethostname","exclusion","Function","2"
"14553","True","negotiate","exclusion","Function","1"
"14554","True","negotiate","additon","Function","1"
"14575","!def(CURL_DISABLE_HTTP)","cleanup","additon","Function","2"
"14575","True","multi_handle","additon","Variable","2"
"14576","True","multi_handle","exclusion","Variable","2"
"14576","!def(CURL_DISABLE_HTTP)","cleanup","exclusion","Function","2"
"1461","True","curl_mfprintf","additon","Function","1"
"14802","True","negotiate","exclusion","Function","1"
"14841","True","dump","additon","Function","1"
"14876","True","len","exclusion","Variable","2"
"14876","True","p","exclusion","Variable","2"
"14876","True","convert_char","additon","Function","2"
"14876","def(__VMS)","vms_show","additon","Variable","2"
"14899","True","main","exclusion","Function","1"
"1495","True","curl_mfprintf","exclusion","Function","1"
"15040","True","Curl_base64_decode","additon","Function","1"
"15040","True","Curl_base64_encode","additon","Function","1"
"15040","True","Curl_rand","additon","Function","1"
"15054","True","Curl_ntlm_create_type3_message","additon","Function","2"
"15147","def(USE_CYASSL)","conn","exclusion","Variable","2"
"15147","!def(HAVE_INET_PTON)","Curl_inet_pton","additon","Function","2"
"15147","def(USE_CYASSL)","sockindex","exclusion","Variable","2"
"15153","True","_curl_win32_wchar_to_UTF8","exclusion","Function","1"
"15153","True","_curl_win32_UTF8_to_wchar","exclusion","Function","1"
"15153","True","Curl_convert_wchar_to_UTF8","additon","Function","1"
"15153","True","Curl_convert_UTF8_to_wchar","additon","Function","1"
"15158","True","Curl_strntoupper","exclusion","Function","1"
"15253","True","Curl_proxyCONNECT","additon","Function","1"
"15253","True","conn","additon","Variable","1"
"15255","True","Curl_convert_wchar_to_UTF8","exclusion","Function","1"
"1527","True","curl_mfprintf","additon","Function","1"
"15296","True","main","additon","Function","1"
"15409","True","easy","additon","Variable","1"
"155","!def(HAVE_STRDUP)","strdup","additon","Function","1"
"15535","True","main","additon","Function","1"
"15619","def(DEBUGBUILD)","gethostname","additon","Function","3"
"15619","True","gethostname","additon","Function","3"
"15619","def(__VMS)","getpass_r","exclusion","Function","3"
"15619","True","CURLE_OK","exclusion","Function","3"
"15619","True","negotiate","additon","Function","3"
"15630","True","easy","additon","Variable","1"
"15639","0","0","0","0","0"
"15646","0","0","0","0","0"
"15662","True","Curl_fileinfo_alloc","additon","Function","4"
"15662","True","Curl_llist_insert_next","additon","Function","4"
"15662","True","gethostname","parameter","Function","4"
"15662","def(CURL_DOES_CONVERSIONS)","Curl_convert_from_network","additon","Function","4"
"15662","True","p","additon","Variable","4"
"15662","True","data","additon","Variable","4"
"15662","True","Curl_raw_nequal","exclusion","Function","4"
"15662","def(DEBUGBUILD)","curlx_strdup","additon","Function","4"
"15662","True","warnf","additon","Function","4"
"15662","True","len","additon","Variable","4"
"15662","True","Curl_base64_decode","additon","Function","4"
"15662","def(CURL_DOES_CONVERSIONS)","Curl_convert_clone","additon","Function","4"
"15662","def(CURL_DOES_CONVERSIONS)","Curl_convert_to_network","additon","Function","4"
"15662","True","Curl_base64_encode","additon","Function","4"
"15662","True","Curl_fnmatch","additon","Function","4"
"15662","True","Curl_gss_init_sec_context","additon","Function","4"
"15662","def(CURL_DOES_CONVERSIONS)","i","additon","Variable","4"
"15662","True","Curl_fileinfo_dtor","additon","Function","4"
"15662","True","main","parameter","Function","4"
"15662","True","buf","additon","Variable","4"
"15686","def(DEBUGBUILD)","curlx_strdup","exclusion","Function","3"
"15686","True","variables","additon","Variable","3"
"15686","True","easy","additon","Variable","3"
"15686","True","Curl_gss_init_sec_context","exclusion","Function","3"
"15686","True","negotiate","exclusion","Function","3"
"15686","True","now","additon","Variable","3"
"15686","True","buf","exclusion","Variable","3"
"15686","True","multi","additon","Variable","3"
"15686","def(CURL_DOES_CONVERSIONS)","Curl_convert_from_network","exclusion","Function","3"
"15686","True","Curl_base64_encode","exclusion","Function","3"
"15686","True","data","exclusion","Variable","3"
"15686","def(CURL_DOES_CONVERSIONS)","Curl_convert_to_network","exclusion","Function","3"
"15686","def(CURL_DOES_CONVERSIONS)","Curl_convert_clone","exclusion","Function","3"
"15686","True","Curl_base64_decode","exclusion","Function","3"
"16166","True","easy","exclusion","Variable","1"
