Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
02-03-2011 07:05:36,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 07:11:57,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 07:13:14,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 07:38:57,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 06:23:42,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 10:45:47,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 10:47:11,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 10:48:53,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 10:51:24,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 10:58:29,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2011 12:36:20,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-03-2011 11:54:36,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-03-2011 12:53:09,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2011 01:49:34,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2011 01:55:06,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-03-2011 11:34:27,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-03-2011 02:50:10,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-03-2011 03:39:29,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-03-2011 04:58:05,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 07:00:03,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 07:59:40,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 08:20:40,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 02:00:49,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 02:16:40,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 02:00:49,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2011 02:16:40,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-03-2011 11:22:36,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-03-2011 11:23:38,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-03-2011 11:55:23,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-03-2011 06:51:04,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-03-2011 02:31:11,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-03-2011 07:51:27,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-03-2011 07:53:47,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-03-2011 07:59:48,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-03-2011 11:49:38,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-03-2011 01:56:21,136,5,0,13,0,1,0,0,0,0,0,0,0,0,0,0
28-03-2011 05:40:59,137,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
28-03-2011 06:03:59,138,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
28-03-2011 07:11:06,139,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0
28-03-2011 11:03:48,140,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0
29-03-2011 02:11:50,141,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0
