"maintenance_points","impact_points"
21,21
21,21
22,22
22,21
78,43
79,21
79,21
79,21
21,21
21,21
21,21
21,21
21,21
21,21
75,46
22,21
94,52
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
30,26
32,29
32,21
22,22
22,21
21,21
21,21
23,22
23,21
23,21
23,21
23,21
23,21
94,59
21,21
21,21
21,21
72,48
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
24,24
24,22
22,22
22,22
22,22
22,22
22,22
22,22
99,53
20,20
20,20
20,20
20,20
20,20
20,20
20,20
97,50
22,22
27,25
27,22
27,25
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
42,32
42,22
42,22
22,22
22,22
22,22
22,22
23,23
23,23
23,23
25,25
28,27
28,23
23,23
23,23
23,23
23,23
23,23
23,23
27,27
27,23
27,23
23,23
23,23
27,26
27,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
24,24
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
39,31
23,23
23,23
35,30
40,27
40,23
40,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
103,66
22,22
22,22
22,22
22,22
24,23
22,22
22,22
22,22
22,22
22,22
22,22
22,22
34,28
34,22
34,22
34,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
67,43
73,47
24,24
24,23
24,23
24,23
77,47
78,23
78,23
23,23
23,23
23,23
80,53
23,23
23,23
23,23
62,43
63,21
75,38
22,22
22,22
22,22
22,22
22,22
75,37
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
57,55
24,24
24,22
22,22
22,22
22,22
25,24
22,22
22,22
37,31
37,22
37,22
22,22
22,22
22,22
105,72
105,12
105,12
12,12
12,12
12,12
16,16
14,12
11,9
11,4
8,7
7,6
14,11
8,7
8,5
7,7
10,9
9,7
9,5
9,5
9,5
6,6
5,5
5,5
47,27
47,7
7,7
7,7
31,21
8,8
8,5
8,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
