openvpn,lissh,ossec,opensc,Sylpheed,Lighttpd,Gnuplot,Hexchat,MPSolve,Gzip,ev
"0,07","0,47",,"0,11","0,09","0,07","0,05","0,11","0,11",,30
"0,07","0,46",,"0,12","0,09","0,06","0,05","0,11","0,11",,31
"0,07","0,45",,"0,12","0,09","0,06","0,05","0,11","0,11",,32
"0,07","0,45",,"0,13","0,09","0,06","0,05","0,11","0,12",,33
"0,07","0,45",,"0,14","0,09","0,06","0,05","0,11","0,12",,34
"0,07","0,46",,"0,15","0,09","0,06","0,05","0,11",,,35
"0,07","0,46",,"0,16","0,09","0,06","0,05","0,11",,,36
"0,07","0,46",,"0,17","0,09","0,06","0,05","0,11",,,37
"0,07","0,46",,"0,18","0,09","0,06","0,05","0,11",,,38
"0,07","0,46",,"0,19","0,09","0,05","0,05","0,11",,,39
"0,07","0,46",,"0,2","0,09","0,05","0,05","0,11",,,40
"0,08","0,46",,"0,2",,"0,05","0,05","0,11",,,41
"0,08","0,46",,"0,21",,"0,05","0,05","0,11",,,42
"0,08","0,46",,"0,21",,"0,05","0,05","0,11",,,43
"0,09","0,45",,"0,21",,"0,05","0,05","0,11",,,44
"0,09","0,45",,"0,21",,"0,05","0,06","0,11",,,45
"0,1","0,45",,"0,21",,"0,05","0,06","0,11",,,46
"0,1","0,44",,"0,21",,"0,05","0,06","0,11",,,47
,"0,44",,"0,21",,"0,05","0,06","0,11",,,48
,"0,44",,"0,21",,"0,05","0,06","0,11",,,49
,"0,43",,"0,22",,"0,05","0,06","0,11",,,50
,"0,43",,"0,22",,"0,05","0,06","0,11",,,51
,"0,42",,"0,22",,"0,05","0,06","0,11",,,52
,"0,42",,"0,22",,"0,05","0,06","0,11",,,53
,"0,42",,"0,22",,"0,05","0,06","0,11",,,54
,"0,41",,"0,22",,"0,05","0,06","0,11",,,55
,"0,41",,"0,23",,"0,05","0,06","0,12",,,56
,"0,4",,"0,23",,,"0,06","0,12",,,57
,"0,4",,"0,23",,,"0,06","0,12",,,58
,"0,39",,"0,23",,,"0,06","0,12",,,59
,"0,39",,"0,24",,,"0,06","0,12",,,60
,"0,39",,"0,24",,,"0,06","0,11",,,61
,"0,38",,"0,24",,,"0,06","0,11",,,62
,"0,38",,"0,24",,,"0,06","0,11",,,63
,"0,38",,"0,25",,,"0,06","0,11",,,64
,"0,37",,"0,25",,,"0,06","0,11",,,65
,,,"0,25",,,"0,06","0,11",,,66
,,,"0,25",,,"0,06","0,11",,,67
,,,"0,25",,,"0,06","0,11",,,68
,,,"0,25",,,"0,06","0,11",,,69
,,,"0,25",,,"0,06",,,,70
,,,"0,25",,,"0,06",,,,71
,,,"0,25",,,"0,06",,,,72
,,,"0,24",,,"0,06",,,,73
,,,"0,24",,,"0,06",,,,74
,,,"0,24",,,"0,07",,,,75
,,,"0,24",,,"0,07",,,,76
,,,"0,24",,,"0,07",,,,77
,,,"0,24",,,"0,07",,,,78
,,,"0,24",,,"0,07",,,,79
,,,"0,24",,,"0,07",,,,80
,,,"0,23",,,"0,07",,,,81
,,,"0,23",,,"0,07",,,,82
,,,"0,23",,,"0,07",,,,83
,,,"0,23",,,"0,07",,,,84
,,,"0,23",,,"0,07",,,,85
,,,"0,23",,,"0,07",,,,86
,,,"0,23",,,"0,07",,,,87
,,,"0,22",,,"0,07",,,,88
,,,"0,22",,,"0,07",,,,89
,,,"0,22",,,"0,07",,,,90
,,,"0,22",,,"0,07",,,,91
,,,"0,22",,,"0,07",,,,92
,,,"0,22",,,"0,07",,,,93
,,,"0,21",,,"0,07",,,,94
,,,"0,21",,,"0,07",,,,95
,,,"0,21",,,"0,07",,,,96
,,,"0,21",,,"0,07",,,,97
,,,"0,21",,,"0,07",,,,98
,,,"0,21",,,"0,07",,,,99
,,,"0,21",,,"0,07",,,,100
,,,"0,21",,,"0,07",,,,101
,,,"0,2",,,"0,07",,,,102
,,,"0,2",,,"0,07",,,,103
,,,"0,2",,,"0,07",,,,104
,,,"0,2",,,"0,07",,,,105
,,,"0,2",,,"0,07",,,,106
,,,"0,2",,,"0,07",,,,107
,,,"0,2",,,"0,07",,,,108
,,,"0,2",,,"0,07",,,,109
,,,"0,2",,,"0,07",,,,110
,,,"0,2",,,"0,07",,,,111
,,,"0,2",,,"0,07",,,,112
,,,"0,2",,,"0,07",,,,113
,,,"0,2",,,"0,07",,,,114
,,,"0,2",,,"0,07",,,,115
,,,"0,2",,,"0,07",,,,116
,,,"0,2",,,"0,06",,,,117
,,,"0,2",,,"0,06",,,,118
,,,"0,2",,,"0,06",,,,119
,,,"0,2",,,"0,06",,,,120
,,,"0,2",,,"0,06",,,,121
,,,"0,2",,,"0,06",,,,122
,,,"0,2",,,"0,06",,,,123
,,,"0,21",,,"0,06",,,,124
,,,,,,"0,06",,,,125
,,,,,,"0,06",,,,126
,,,,,,"0,06",,,,127
,,,,,,"0,06",,,,128
,,,,,,"0,06",,,,129
,,,,,,"0,06",,,,130
,,,,,,"0,06",,,,131
,,,,,,"0,06",,,,132
,,,,,,"0,06",,,,133
,,,,,,"0,07",,,,134
,,,,,,"0,07",,,,135
,,,,,,"0,07",,,,136
,,,,,,"0,07",,,,137
,,,,,,"0,07",,,,138
,,,,,,"0,07",,,,139
,,,,,,"0,07",,,,140
,,,,,,"0,08",,,,141
,,,,,,"0,08",,,,142
,,,,,,"0,08",,,,143
,,,,,,"0,08",,,,144
,,,,,,"0,08",,,,145
,,,,,,"0,08",,,,146
,,,,,,"0,08",,,,147
,,,,,,"0,08",,,,148
,,,,,,"0,08",,,,149
