"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
11427,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11430,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11432,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11434,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11442,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11452,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11500,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11519,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11607,2,1,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0
11608,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11609,1,1,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0
11622,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11626,2,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0
11627,2,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
11628,1,1,2,1,1,0,0,0,0,0,5,2,3,0,0,0,0
11634,1,1,2,1,1,0,0,0,0,0,5,3,2,0,0,0,0
11635,2,1,2,1,1,0,0,0,0,0,3,0,3,0,0,0,0
11639,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11645,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
11646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11655,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11662,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11670,2,1,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0
11671,3,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0
11672,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11673,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11674,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11678,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11679,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11682,2,1,6,4,2,0,0,0,0,0,3,3,0,0,0,0,0
11686,2,1,4,1,3,0,0,0,0,0,3,0,3,0,0,0,0
11687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11689,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11690,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11703,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11741,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11772,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
