!def(VMS),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED))),True
True,!def(VMS)
True,def(LIBXML_DEBUG_ENABLED)
def(LIBXML_XPATH_ENABLED),!def(NO_DEBUG_MEMORY)
def(XML_USE_BUFFER_CONTENT),True
!def(LIBXML_HTML_ENABLED),def(LIBXML_HTML_ENABLED)
(def(LIBXML_HTML_ENABLED)&def(LIBXML_DEBUG_ENABLED)),def(LIBXML_HTML_ENABLED)
!def(LIBXML_XPTR_ENABLED),def(LIBXML_XPATH_ENABLED)
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED)),def(LIBXML_XPTR_ENABLED)
def(LIBXML_XPTR_ENABLED),def(LIBXML_XPATH_ENABLED)
!def(VMS),True
(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED))),!def(VMS)
def(LIBXML_XINCLUDE_ENABLED),def(LIBXML_XPTR_ENABLED)
(!def(LIBXML_DEBUG_ENABLED)&def(LIBXML_HTML_ENABLED)&(!def(LIBXML_HTML_ENABLED)|!def(LIBXML_DEBUG_ENABLED))),def(LIBXML_HTML_ENABLED)
!def(LIBXML_DEBUG_ENABLED),True
True,def(BIG_ENDIAN)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,def(STANDALONE)
def(LIBXML_XINCLUDE_ENABLED),def(XML_USE_BUFFER_CONTENT)
def(STANDALONE),True
True,!def(LIBXML_HTML_ENABLED)
def(LIBXML_XINCLUDE_ENABLED),True
!def(LIBXML_HTML_ENABLED),True
def(VMS),True
def(BIG_ENDIAN),True
def(LIBXML_XPTR_ENABLED),True
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED)),True
def(LIBXML_XINCLUDE_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_DEBUG_ENABLED),def(LIBXML_HTML_ENABLED)
