"index","a","b","c","d","e"
"2176","True","message","additon","Variable","2"
"2176","True","filename","additon","Variable","2"
"2176","True","severity","additon","Variable","2"
"2176","True","line","additon","Variable","2"
"2176","True","on","additon","Variable","2"
"2176","True","markId","additon","Variable","2"
"2188","True","message","exclusion","Variable","2"
"2188","True","vimShell","additon","Variable","2"
"2188","True","line","exclusion","Variable","2"
"2188","True","filename","exclusion","Variable","2"
"2188","True","on","exclusion","Variable","2"
"2188","True","name","exclusion","Variable","2"
"2188","True","markId","exclusion","Variable","2"
"2188","True","severity","exclusion","Variable","2"
"2189","True","name","additon","Variable","2"
"2189","True","value","additon","Variable","2"
"2189","True","vimShell","exclusion","Variable","2"
"2195","True","value","exclusion","Variable","2"
"2195","True","name","additon","Variable","2"
"2196","True","vimShell","additon","Variable","1"
"2197","True","name","additon","Variable","2"
"2197","True","vimShell","exclusion","Variable","2"
"2197","True","value","additon","Variable","2"
"2198","True","value","exclusion","Variable","1"
"2198","True","vimShell","additon","Variable","1"
"2198","True","name","exclusion","Variable","1"
"2204","True","vimShell","exclusion","Variable","2"
"2204","True","name","exclusion","Variable","2"
"2205","True","name","additon","Variable","2"
"2215","0","0","0","0","0"
"2221","True","vs","additon","Variable","2"
"2221","True","tip","exclusion","Variable","2"
"2221","True","senseVerb","additon","Variable","2"
"2221","True","file","additon","Variable","2"
"2221","True","left","additon","Variable","2"
"2221","True","name","additon","Variable","2"
"2221","True","help","additon","Variable","2"
"2221","True","message","additon","Variable","2"
"2221","True","selection","exclusion","Variable","2"
"2221","True","label","additon","Variable","2"
"2221","True","clientData","exclusion","Variable","2"
"2221","True","curLine","exclusion","Variable","2"
"2221","True","selEndLine","exclusion","Variable","2"
"2221","True","accText","exclusion","Variable","2"
"2221","True","value","additon","Variable","2"
"2221","True","filename","exclusion","Variable","2"
"2221","True","selStartLine","exclusion","Variable","2"
"2221","True","filepos","additon","Variable","2"
"2221","True","curCol","exclusion","Variable","2"
"2221","True","sense","additon","Variable","2"
"2221","True","markId","additon","Variable","2"
"2221","True","selLength","exclusion","Variable","2"
"2221","True","verb","additon","Variable","2"
"2221","True","delay","additon","Variable","2"
"2221","True","selEndCol","exclusion","Variable","2"
"2221","True","selStartCol","exclusion","Variable","2"
"2235","True","name","exclusion","Variable","2"
"2236","True","vimShell","additon","Variable","1"
"2237","True","vimShell","additon","Variable","2"
"2238","True","vimShell","exclusion","Variable","2"
"2240","True","tip","additon","Variable","2"
"2240","True","markId","exclusion","Variable","2"
"2240","True","idx","additon","Variable","2"
"2240","True","sign","additon","Variable","2"
"2240","True","value","exclusion","Variable","2"
"2251","True","fn","qualifier","Function","1"
"2253","True","sense","exclusion","Variable","2"
"2253","True","file","exclusion","Variable","2"
"2253","True","severity","exclusion","Variable","2"
"2253","True","sign","exclusion","Variable","2"
"2253","True","left","exclusion","Variable","2"
"2253","True","frameid","additon","Variable","2"
"2253","True","line","additon","Variable","2"
"2253","True","help","exclusion","Variable","2"
"2253","True","idx","exclusion","Variable","2"
"2253","True","markId","exclusion","Variable","2"
"2253","True","filepos","exclusion","Variable","2"
"2253","True","label","exclusion","Variable","2"
"2253","True","senseVerb","exclusion","Variable","2"
"2253","True","message","exclusion","Variable","2"
"2253","True","verb","exclusion","Variable","2"
"2253","True","on","additon","Variable","2"
"2253","True","vs","exclusion","Variable","2"
"2253","True","tip","exclusion","Variable","2"
"2261","True","vimShell","additon","Variable","1"
"2261","True","fn","qualifier","Function","1"
"2262","True","fn","qualifier","Function","1"
"2262","True","name","additon","Variable","1"
"2262","True","value","additon","Variable","1"
"2262","True","vimShell","exclusion","Variable","1"
"2281","True","vimShell","additon","Variable","1"
"2281","True","value","exclusion","Variable","1"
"2281","True","fn","qualifier","Function","1"
"2281","True","name","exclusion","Variable","1"
"2282","True","fn","qualifier","Function","2"
"2282","True","vimShell","additon","Variable","2"
"2391","True","directory","additon","Variable","2"
"2391","True","fn","additon","Function","2"
"2391","True","fname","additon","Function","2"
"2495","True","value","additon","Variable","3"
"2495","True","delay","exclusion","Variable","3"
"2495","True","frameid","exclusion","Variable","3"
"2495","True","filepos","additon","Variable","3"
"2495","True","tip","additon","Variable","3"
"2495","True","line","exclusion","Variable","3"
"2495","True","verb","additon","Variable","3"
"2495","True","vimShell","exclusion","Variable","3"
"2495","True","name","additon","Variable","3"
"2495","True","on","exclusion","Variable","3"
"2495","True","accText","additon","Variable","3"
"2495","True","label","additon","Variable","3"
"2505","True","directory","exclusion","Variable","3"
"2505","True","fn","exclusion","Function","3"
"2505","True","fname","exclusion","Function","3"
"2550","True","directory","additon","Variable","1"
"2550","True","fname","additon","Function","1"
"2550","True","fn","additon","Function","1"
"2557","True","fn","exclusion","Function","2"
"2557","True","directory","exclusion","Variable","2"
"2557","True","fname","exclusion","Function","2"
"2620","0","0","0","0","0"
"2625","True","fname","additon","Function","1"
"2625","True","directory","additon","Variable","1"
"2625","True","fn","additon","Function","1"
"2642","True","label","exclusion","Variable","3"
"2642","True","message","additon","Variable","3"
"2642","True","name","exclusion","Variable","3"
"2642","True","vimShell","additon","Variable","3"
"2642","True","filepos","exclusion","Variable","3"
"2642","True","line","exclusion","Variable","3"
"2642","True","accText","exclusion","Variable","3"
"2642","True","verb","exclusion","Variable","3"
"2642","True","severity","additon","Variable","3"
"2658","True","fn","qualifier","Function","1"
"272","True","label","additon","Variable","2"
"2723","True","fn","exclusion","Function","3"
"2723","True","fname","exclusion","Function","3"
"2723","True","directory","exclusion","Variable","3"
"2729","0","0","0","0","0"
"273","0","0","0","0","0"
"2736","True","directory","additon","Variable","1"
"2736","True","fn","additon","Function","1"
"2736","True","fname","additon","Function","1"
"275","True","qf_listcount","additon","Function","2"
"275","True","qf_curlist","additon","Variable","2"
"275","True","qf_lists","additon","Function","2"
"275","True","qf_list","additon","Function","2"
"41","True","msg","exclusion","Function","1"
"41","True","msg_attr","additon","Function","1"
"416","True","directory","exclusion","Variable","1"
"416","True","fname","exclusion","Function","1"
"416","True","fn","exclusion","Function","1"
"44","True","msg","additon","Function","2"
"44","True","msg_attr","exclusion","Function","2"
"44","True","fn","additon","Function","2"
"456","True","verb","additon","Variable","1"
"456","True","filepos","additon","Variable","1"
"456","True","label","additon","Variable","1"
"456","True","name","additon","Variable","1"
"5329","True","name","additon","Variable","2"
"5329","True","value","additon","Variable","2"
"5336","True","message","exclusion","Variable","2"
"5336","True","vs","additon","Variable","2"
"5336","True","value","exclusion","Variable","2"
"5336","True","name","additon","Variable","2"
"5336","True","verb","additon","Variable","2"
"5336","True","accText","additon","Variable","2"
"5336","True","label","additon","Variable","2"
"5336","True","severity","exclusion","Variable","2"
"5336","True","filepos","additon","Variable","2"
"5456","True","gap","exclusion","Variable","2"
"5456","True","len","exclusion","Variable","2"
"5456","True","s","exclusion","Variable","2"
"5456","True","res","exclusion","Variable","2"
"5457","True","len","additon","Variable","1"
"5457","True","s","additon","Variable","1"
"5461","True","s","exclusion","Variable","2"
"5461","True","len","exclusion","Variable","2"
"5463","True","gap","additon","Variable","2"
"5463","True","res","additon","Variable","2"
"5463","True","s","additon","Variable","2"
"5463","True","len","additon","Variable","2"
"5463","True","buf","exclusion","Variable","2"
"5469","True","buf","additon","Variable","2"
"5478","True","res","exclusion","Variable","2"
"5478","True","len","exclusion","Variable","2"
"5478","True","s","exclusion","Variable","2"
"5478","True","gap","exclusion","Variable","2"
"5483","True","res","additon","Variable","2"
"5483","True","eap","additon","Variable","2"
"5483","True","gap","additon","Variable","2"
"5483","True","s","additon","Variable","2"
"5483","True","len","additon","Variable","2"
"5494","0","0","0","0","0"
"5500","True","eap","exclusion","Variable","2"
"5504","0","0","0","0","0"
"5508","0","0","0","0","0"
"5509","True","eap","additon","Variable","2"
"5524","True","eap","exclusion","Variable","2"
"5524","True","s","exclusion","Variable","2"
"5524","True","res","exclusion","Variable","2"
"5524","True","gap","exclusion","Variable","2"
"5524","True","len","exclusion","Variable","2"
"5531","def(WIN32)","close","qualifier","Function","2"
"5531","True","res","additon","Variable","2"
"5531","True","s","additon","Variable","2"
"5531","True","gap","additon","Variable","2"
"5531","def(WIN32)","read","qualifier","Function","2"
"5531","True","len","additon","Variable","2"
"5531","def(WIN32)","write","additon","Function","2"
"5536","True","gap","exclusion","Variable","2"
"5536","True","res","exclusion","Variable","2"
"5542","True","eap","additon","Variable","2"
"5542","def(WIN32)","read","qualifier","Function","2"
"5542","def(WIN32)","close","additon","Function","2"
"5542","def(WIN32)","write","qualifier","Function","2"
"5546","True","vimShell","exclusion","Variable","2"
"5551","True","eap","exclusion","Variable","2"
"5553","True","len","exclusion","Variable","2"
"5553","True","eap","additon","Variable","2"
"5553","True","s","exclusion","Variable","2"
"5556","True","len","additon","Variable","2"
"5556","True","s","additon","Variable","2"
"5568","True","eap","exclusion","Variable","2"
"5583","True","eap","additon","Variable","2"
"5589","True","eap","exclusion","Variable","2"
"5590","True","eap","additon","Variable","2"
"5596","0","0","0","0","0"
"5597","True","eap","exclusion","Variable","2"
"5600","True","eap","additon","Variable","2"
"5616","True","eap","exclusion","Variable","2"
"5626","True","eap","additon","Variable","2"
"5635","0","0","0","0","0"
"5638","True","eap","exclusion","Variable","2"
"5656","0","0","0","0","0"
"5661","0","0","0","0","0"
"5663","True","eap","additon","Variable","2"
"5665","0","0","0","0","0"
"5674","True","eap","exclusion","Variable","2"
"5679","True","eap","additon","Variable","2"
"5694","True","buf","exclusion","Variable","2"
"5694","True","eap","exclusion","Variable","2"
"5695","True","buf","additon","Variable","2"
"5695","True","eap","additon","Variable","2"
"5715","True","eap","exclusion","Variable","2"
"5728","True","eap","additon","Variable","2"
"5747","True","eap","exclusion","Variable","2"
"5752","True","s","exclusion","Variable","1"
"5752","True","len","exclusion","Variable","1"
"5753","True","s","additon","Variable","1"
"5753","True","len","additon","Variable","1"
"5754","True","s","exclusion","Variable","1"
"5754","True","len","exclusion","Variable","1"
"5759","True","len","additon","Variable","2"
"5759","True","s","additon","Variable","2"
"5760","0","0","0","0","0"
"5765","True","len","exclusion","Variable","1"
"5765","True","s","exclusion","Variable","1"
"5777","True","eap","additon","Variable","2"
"5802","True","eap","exclusion","Variable","2"
"5803","True","len","additon","Variable","1"
"5803","True","s","additon","Variable","1"
"5806","0","0","0","0","0"
"5818","0","0","0","0","0"
"5857","True","buf","exclusion","Variable","2"
"5857","True","eap","additon","Variable","2"
"5893","True","eap","exclusion","Variable","2"
"5893","True","len","exclusion","Variable","2"
"5893","True","s","exclusion","Variable","2"
"5893","True","buf","additon","Variable","2"
"5932","True","len","additon","Variable","2"
"5932","True","eap","additon","Variable","2"
"5932","True","s","additon","Variable","2"
"5936","True","eap","exclusion","Variable","2"
"5947","True","eap","additon","Variable","2"
"5953","True","s","exclusion","Variable","1"
"5953","True","len","exclusion","Variable","1"
"5956","True","s","additon","Variable","2"
"5956","True","len","additon","Variable","2"
"5959","True","eap","exclusion","Variable","2"
"5971","0","0","0","0","0"
"5972","True","eap","additon","Variable","2"
"5973","True","len","exclusion","Variable","1"
"5973","True","s","exclusion","Variable","1"
"5974","True","len","additon","Variable","2"
"5974","True","s","additon","Variable","2"
"5976","True","eap","exclusion","Variable","2"
"5999","True","s","exclusion","Variable","1"
"5999","True","len","exclusion","Variable","1"
"6002","True","len","additon","Variable","2"
"6002","True","s","additon","Variable","2"
"6004","True","buf","exclusion","Variable","2"
"6020","True","eap","additon","Variable","2"
"6033","True","eap","exclusion","Variable","2"
"6056","True","buf","additon","Variable","2"
"6071","True","hash_hash","parameter","Function","1"
"6072","True","hash_hash","parameter","Function","1"
"6073","True","hash_hash","parameter","Function","1"
"6074","True","s","exclusion","Variable","1"
"6074","True","len","exclusion","Variable","1"
"6074","def(_WIN32)","strerror_win32","qualifier","Function","3"
"6074","True","buf","exclusion","Variable","3"
"6074","def(WIN32)","write","additon","Function","3"
"6074","def(WIN32)","read","exclusion","Function","3"
"6074","def(WIN32)","close","qualifier","Function","3"
"6074","True","hash_hash","parameter","Function","3"
"6075","True","hash_hash","parameter","Function","1"
"6076","True","hash_hash","parameter","Function","1"
"6077","True","hash_hash","parameter","Function","1"
"6078","True","hash_hash","parameter","Function","1"
"6079","True","hash_hash","parameter","Function","1"
"6080","True","hash_hash","parameter","Function","1"
"6081","True","hash_hash","parameter","Function","1"
"6082","True","hash_hash","parameter","Function","1"
"6083","True","hash_hash","parameter","Function","1"
"6084","True","hash_hash","parameter","Function","1"
"6085","True","hash_hash","parameter","Function","1"
"6086","True","hash_hash","parameter","Function","1"
"6087","True","hash_hash","parameter","Function","1"
"6088","True","hash_hash","parameter","Function","1"
"6089","True","hash_hash","parameter","Function","1"
"6090","True","hash_hash","parameter","Function","1"
"6091","True","hash_hash","parameter","Function","1"
"6092","True","hash_hash","parameter","Function","1"
"6093","True","hash_hash","parameter","Function","1"
"6094","True","hash_hash","parameter","Function","1"
"6095","True","hash_hash","parameter","Function","1"
"6096","True","hash_hash","parameter","Function","1"
"6097","True","hash_hash","parameter","Function","1"
"6098","True","hash_hash","parameter","Function","1"
"6099","True","hash_hash","parameter","Function","1"
"6100","True","hash_hash","parameter","Function","1"
"6101","True","eap","additon","Variable","2"
"6101","True","hash_hash","parameter","Function","2"
"6101","True","eap","additon","Variable","2"
"6102","True","hash_hash","parameter","Function","1"
"6103","True","hash_hash","parameter","Function","1"
"6104","True","hash_hash","parameter","Function","1"
"6105","True","hash_hash","parameter","Function","1"
"6106","True","hash_hash","parameter","Function","1"
"6107","True","hash_hash","parameter","Function","1"
"6108","True","hash_hash","parameter","Function","1"
"6109","True","hash_hash","parameter","Function","1"
"6110","True","hash_hash","parameter","Function","1"
"6111","True","hash_hash","parameter","Function","1"
"6112","True","hash_hash","parameter","Function","2"
"6113","True","hash_hash","parameter","Function","1"
"6114","True","hash_hash","parameter","Function","1"
"6115","True","hash_hash","parameter","Function","1"
"6116","True","hash_hash","parameter","Function","1"
"6117","True","hash_hash","parameter","Function","1"
"6118","True","hash_hash","parameter","Function","1"
"6119","True","hash_hash","parameter","Function","1"
"6120","True","hash_hash","parameter","Function","1"
"6121","True","hash_hash","parameter","Function","1"
"6122","True","hash_hash","parameter","Function","1"
"6123","True","hash_hash","parameter","Function","1"
"6124","True","hash_hash","parameter","Function","1"
"6125","True","hash_hash","parameter","Function","1"
"6126","True","hash_hash","parameter","Function","1"
"6127","True","hash_hash","parameter","Function","1"
"6128","True","hash_hash","parameter","Function","1"
"6129","True","hash_hash","parameter","Function","1"
"6130","True","hash_hash","parameter","Function","1"
"6131","True","hash_hash","parameter","Function","1"
"6132","True","hash_hash","parameter","Function","1"
"6133","True","hash_hash","parameter","Function","1"
"6134","True","hash_hash","parameter","Function","1"
"6135","True","hash_hash","parameter","Function","1"
"6136","True","hash_hash","parameter","Function","1"
"6137","True","hash_hash","parameter","Function","1"
"6138","True","hash_hash","parameter","Function","1"
"6139","True","hash_hash","parameter","Function","1"
"6140","True","hash_hash","parameter","Function","1"
"6141","True","hash_hash","parameter","Function","1"
"6142","True","hash_hash","parameter","Function","1"
"6143","True","hash_hash","parameter","Function","1"
"6144","True","hash_hash","parameter","Function","1"
"6145","True","hash_hash","parameter","Function","1"
"6146","True","hash_hash","parameter","Function","1"
"6147","True","hash_hash","parameter","Function","1"
"6148","True","hash_hash","parameter","Function","1"
"6149","True","hash_hash","parameter","Function","1"
"6150","True","hash_hash","parameter","Function","1"
"6151","True","eap","exclusion","Variable","2"
"6151","True","hash_hash","parameter","Function","2"
"6152","True","hash_hash","parameter","Function","2"
"6152","True","buf","additon","Variable","2"
"6153","True","hash_hash","parameter","Function","1"
"6154","True","hash_hash","parameter","Function","1"
"6155","True","hash_hash","parameter","Function","1"
"6156","True","hash_hash","parameter","Function","1"
"6157","True","hash_hash","parameter","Function","1"
"6158","True","hash_hash","parameter","Function","1"
"6159","True","hash_hash","parameter","Function","1"
"6160","True","hash_hash","parameter","Function","1"
"6161","True","hash_hash","parameter","Function","1"
"6162","True","hash_hash","parameter","Function","1"
"6163","True","hash_hash","parameter","Function","1"
"6164","True","eap","additon","Variable","2"
"6164","True","hash_hash","parameter","Function","2"
"6165","True","hash_hash","parameter","Function","1"
"6166","True","hash_hash","parameter","Function","1"
"6167","True","hash_hash","parameter","Function","1"
"6168","True","hash_hash","parameter","Function","1"
"6169","True","hash_hash","parameter","Function","1"
"6170","True","hash_hash","parameter","Function","1"
"6171","True","hash_hash","parameter","Function","1"
"6172","True","hash_hash","parameter","Function","1"
"6173","True","hash_hash","parameter","Function","1"
"6174","True","hash_hash","parameter","Function","1"
"6175","True","hash_hash","parameter","Function","1"
"6176","True","hash_hash","parameter","Function","1"
"6177","True","hash_hash","parameter","Function","1"
"6178","True","hash_hash","parameter","Function","1"
"6179","True","hash_hash","parameter","Function","2"
"6179","True","eap","exclusion","Variable","2"
"6179","True","buf","exclusion","Variable","2"
"6180","True","hash_hash","parameter","Function","1"
"6181","True","hash_hash","parameter","Function","2"
"6182","True","hash_hash","parameter","Function","1"
"6183","True","hash_hash","parameter","Function","1"
"6184","True","hash_hash","parameter","Function","1"
"6185","True","hash_hash","parameter","Function","1"
"6186","True","hash_hash","parameter","Function","1"
"6187","True","hash_hash","parameter","Function","1"
"6188","True","hash_hash","parameter","Function","1"
"6189","True","hash_hash","parameter","Function","1"
"6190","True","hash_hash","parameter","Function","1"
"6191","True","hash_hash","parameter","Function","1"
"6192","True","key","exclusion","Variable","1"
"6192","True","hash","exclusion","Variable","1"
"6192","True","hash_hash","exclusion","Function","1"
"6192","True","ht","exclusion","Variable","1"
"6201","True","eap","additon","Variable","2"
"6205","True","eap","exclusion","Variable","2"
"6206","True","eap","additon","Variable","2"
"6264","True","value","additon","Variable","2"
"6264","True","eap","exclusion","Variable","2"
"6264","True","line","additon","Variable","2"
"6366","True","eap","additon","Variable","2"
"6403","True","eap","exclusion","Variable","2"
"6419","True","eap","additon","Variable","2"
"6465","def(WIN32)","read","additon","Function","4"
"6465","True","filepos","additon","Variable","4"
"6465","True","senseVerb","additon","Variable","4"
"6465","True","sense","additon","Variable","4"
"6465","True","verb","additon","Variable","4"
"6465","True","value","exclusion","Variable","4"
"6465","True","file","additon","Variable","4"
"6465","True","left","additon","Variable","4"
"6465","True","accText","additon","Variable","4"
"6465","True","label","additon","Variable","4"
"6465","True","help","additon","Variable","4"
"6465","def(WIN32)","write","qualifier","Function","4"
"6465","True","vs","exclusion","Variable","4"
"6465","def(_WIN32)","strerror_win32","qualifier","Function","4"
"6465","def(WIN32)","close","additon","Function","4"
"6465","True","name","additon","Variable","4"
"6471","def(WIN32)","read","qualifier","Function","3"
"6471","True","eap","exclusion","Variable","3"
"6471","def(_WIN32)","strerror_win32","qualifier","Function","3"
"6471","def(WIN32)","close","exclusion","Function","3"
"6471","def(WIN32)","write","qualifier","Function","3"
"6472","True","eap","additon","Variable","2"
"6501","0","0","0","0","0"
"6519","0","0","0","0","0"
"6562","True","tip","additon","Variable","4"
"6562","True","filepos","exclusion","Variable","4"
"6562","def(WSDEBUG)","ws_dlevel","additon","Variable","4"
"6562","True","idx","additon","Variable","4"
"6562","True","sign","additon","Variable","4"
"6562","True","value","additon","Variable","4"
"6562","def(WSDEBUG)","ws_debug","additon","Variable","4"
"6562","True","accText","exclusion","Variable","4"
"6562","True","line","additon","Variable","4"
"6562","True","message","additon","Variable","4"
"6562","True","senseVerb","exclusion","Variable","4"
"6562","True","msg","exclusion","Function","4"
"6562","True","on","additon","Variable","4"
"6562","True","frameid","additon","Variable","4"
"6562","True","wsdebug","additon","Function","4"
"6562","True","file","exclusion","Variable","4"
"6562","True","label","additon","Variable","4"
"6562","True","wstrace","additon","Function","4"
"6562","True","name","exclusion","Variable","4"
"6562","True","help","exclusion","Variable","4"
"6562","True","delay","additon","Variable","4"
"6562","def(WSDEBUG)","lookup","exclusion","Function","4"
"6562","True","vimShell","additon","Variable","4"
"6562","True","sense","exclusion","Variable","4"
"6562","True","filename","additon","Variable","4"
"6562","True","severity","additon","Variable","4"
"6562","def(WSDEBUG)","workshop_set_option","additon","Function","4"
"6562","True","verb","exclusion","Variable","4"
"6562","True","markId","additon","Variable","4"
"6562","True","lineno","additon","Variable","4"
"6562","True","left","exclusion","Variable","4"
"6577","True","eap","exclusion","Variable","2"
"6579","True","eap","additon","Variable","2"
"6592","True","eap","exclusion","Variable","2"
"6637","True","eap","additon","Variable","2"
"6638","True","eap","exclusion","Variable","2"
"682","True","directory","exclusion","Variable","1"
"682","True","fname","exclusion","Function","1"
"682","True","fn","exclusion","Function","1"
"692","True","name","exclusion","Variable","2"
"692","True","verb","exclusion","Variable","2"
"692","True","filepos","exclusion","Variable","2"
"692","True","label","additon","Variable","2"
"7021","True","value","exclusion","Variable","3"
"7021","True","lineno","exclusion","Variable","3"
"7021","True","markId","exclusion","Variable","3"
"7021","True","on","exclusion","Variable","3"
"7021","True","delay","exclusion","Variable","3"
"7021","True","name","additon","Variable","3"
"7021","True","verb","additon","Variable","3"
"7021","True","line","exclusion","Variable","3"
"7021","True","label","additon","Variable","3"
"7021","True","filepos","additon","Variable","3"
"7021","True","accText","additon","Variable","3"
"7021","True","vimShell","exclusion","Variable","3"
"7021","True","message","exclusion","Variable","3"
"7125","0","0","0","0","0"
"7276","True","len","additon","Variable","2"
"7276","def(WIN32)","read","additon","Function","2"
"7276","def(WIN32)","write","additon","Function","2"
"7276","True","vt","additon","Variable","2"
"7276","def(WIN32)","close","additon","Function","2"
"7276","True","state","additon","Variable","2"
"7347","True","len","exclusion","Variable","2"
"7347","True","vt","exclusion","Variable","2"
"7397","True","val","exclusion","Variable","2"
"7495","True","eap","additon","Variable","2"
"7544","True","eap","exclusion","Variable","2"
"7710","True","vs","additon","Variable","4"
"7710","True","filepos","exclusion","Variable","4"
"7710","True","clientData","additon","Variable","4"
"7710","True","sign","exclusion","Variable","4"
"7710","True","delay","additon","Variable","4"
"7710","True","selStartLine","additon","Variable","4"
"7710","True","selEndLine","additon","Variable","4"
"7710","True","vimShell","additon","Variable","4"
"7710","True","selEndCol","additon","Variable","4"
"7710","True","message","additon","Variable","4"
"7710","True","markId","additon","Variable","4"
"7710","True","idx","exclusion","Variable","4"
"7710","True","filename","additon","Variable","4"
"7710","True","selection","additon","Variable","4"
"7710","True","accText","exclusion","Variable","4"
"7710","True","curLine","additon","Variable","4"
"7710","True","selLength","additon","Variable","4"
"7710","True","line","additon","Variable","4"
"7710","True","selStartCol","additon","Variable","4"
"7710","True","label","additon","Variable","4"
"7710","True","frameid","exclusion","Variable","4"
"7710","True","verb","exclusion","Variable","4"
"7710","True","curCol","additon","Variable","4"
"7710","True","name","additon","Variable","4"
"7710","True","value","exclusion","Variable","4"
"7710","True","lineno","additon","Variable","4"
"789","0","0","0","0","0"
"7911","True","verb","additon","Variable","3"
"7911","True","name","additon","Variable","3"
"7911","True","selection","exclusion","Variable","3"
"7911","True","selEndCol","exclusion","Variable","3"
"7911","True","accText","additon","Variable","3"
"7911","True","curLine","exclusion","Variable","3"
"7911","True","curCol","exclusion","Variable","3"
"7911","True","selEndLine","exclusion","Variable","3"
"7911","True","filepos","additon","Variable","3"
"7911","True","line","additon","Variable","3"
"7911","True","vs","additon","Variable","3"
"7911","True","markId","exclusion","Variable","3"
"7911","True","frameid","additon","Variable","3"
"7911","True","label","additon","Variable","3"
"7911","True","vimShell","exclusion","Variable","3"
